pathway	104B_1w_ML	104B_3w_ML	104B_4w_ML	104E_1w_ML	104E_3w_ML	104E_4w_ML	104R_1w_ML	104R_3w_ML	104R_4w_ML	104S_0w_ML	105B_1w_ML	105B_3w_ML	105B_4w_ML	105E_1w_ML	105E_3w_ML	105E_4w_ML	105R_1w_ML	105R_3w_ML	105R_4w_ML	105S_0w_ML	108B_1w_ML	108B_3w_ML	108B_4w_ML	108E_1w_ML	108E_3w_ML	108E_4w_ML	108R_1w_ML	108R_3w_ML	108R_4w_ML	108S_0w_ML	109B_1w_ML	109B_3w_ML	109B_4w_ML	109E_1w_ML	109E_3w_ML	109E_4w_ML	109R_1w_ML	109R_3w_ML	109R_4w_ML	109S_0w_ML	201B_1w_ML	201B_3w_ML	201B_4w_ML	201E_1w_ML	201E_3w_ML	201E_4w_ML	201R_1w_ML	201R_3w_ML	201R_4w_ML	201S_0w_ML	202B_1w_ML	202B_3w_ML	202B_4w_ML	202E_1w_ML	202E_3w_ML	202E_4w_ML	202R_1w_ML	202R_3w_ML	202R_4w_ML	202S_0w_ML	206B_1w_ML	206B_3w_ML	206B_4w_ML	206E_1w_ML	206E_3w_ML	206E_4w_ML	206R_1w_ML	206R_3w_ML	206R_4w_ML	206S_0w_ML	207B_1w_ML	207B_3w_ML	207B_4w_ML	207E_1w_ML	207E_3w_ML	207E_4w_ML	207R_1w_ML	207R_3w_ML	207R_4w_ML	207S_0w_ML	209B_1w_ML	209B_3w_ML	209B_4w_ML	209E_1w_ML	209E_3w_ML	209E_4w_ML	209R_1w_ML	209R_3w_ML	209R_4w_ML	209S_0w_ML	301B_1w_ML	301B_3w_ML	301B_4w_ML	301E_1w_ML	301E_3w_ML	301E_4w_ML	301R_1w_ML	301R_3w_ML	301R_4w_ML	301S_0w_ML	302B_1w_ML	302B_3w_ML	302B_4w_ML	302E_1w_ML	302E_3w_ML	302E_4w_ML	302R_1w_ML	302R_3w_ML	302R_4w_ML	302S_0w_ML	306B_1w_ML	306B_3w_ML	306B_4w_ML	306E_1w_ML	306E_3w_ML	306E_4w_ML	306R_3w_ML	306R_4w_ML	306S_0w_ML	309B_1w_ML	309B_3w_ML	309B_4w_ML	309E_1w_ML	309E_3w_ML	309E_4w_ML	309R_1w_ML	309R_3w_ML	309R_4w_ML	309S_0w_ML	310B_1w_ML	310B_3w_ML	310B_4w_ML	310E_1w_ML	310E_3w_ML	310E_4w_ML	310R_1w_ML	310R_3w_ML	310R_4w_ML	310S_0w_ML	411B_1w_ML	411B_3w_ML	411B_4w_ML	411E_1w_ML	411E_3w_ML	411E_4w_ML	411R_1w_ML	411R_3w_ML	411R_4w_ML	411S_0w_ML	Seed_CM_4
PWY-7295	134.9243	192.6887	157.0272	933.0965	411.0454	640.6153	928.7786	445.4514	652.8384	98.2149	142.1387	129.4517	161.8541	885.1501	375.3877	697.5019	750.8636	581.4054	431.381	137.9715	75.6566	144.6427	137.9704	602.9943	331.4294	450.8768	468.355	388.5563	319.3219	76.1949	54.5526	132.7766	139.5101	1015.7392	269.0324	662.0497	556.4744	429.0333	377.7232	112.7111	54.4225	220.7869	206.4071	984.6045	325.9797	321.5378	1908.1049	441.7496	357.6406	103.8961	117.3268	256.1779	185.8859	1128.0015	580.906	512.8309	1769.1804	726.2852	548.0641	134.8789	93.8634	91.9275	164.8397	992.0185	452.2905	462.1999	1665.051	608.2722	474.7942	118.3626	76.4487	218.2988	138.3367	760.069	434.7562	367.1398	1124.3291	462.223	403.235	88.1175	77.2864	168.0036	148.3609	758.6218	365.5742	563.7716	1242.075	444.0491	283.4176	118.1761	86.9553	152.5155	108.9659	758.6898	364.6075	332.0051	1394.9204	550.32	563.1922	388.6246	93.5097	323.6564	167.6694	1020.0625	621.4708	429.202	1491.0627	841.0617	488.0125	122.0562	100.8124	137.2521	91.1508	503.0203	499.9886	328.3009	685.8942	644.3963	125.7803	85.5488	132.2827	151.7746	997.2998	463.902	685.6109	1461.308	661.7436	548.7715	110.3735	103.1846	261.1679	138.8829	1029.439	493.7516	696.6789	1243.7594	610.7923	624.7329	120.0947	72.7294	251.8443	242.9865	1408.5961	480.6962	491.4315	1545.5684	666.0035	593.5082	116.4587	44.9578
PWY-7315	448.7269	345.9439	502.071	2980.4387	348.7476	652.681	4508.097	431.3514	1445.7211	1002.6918	196.1916	493.1684	275.3051	5782.8205	223.0945	447.8181	5540.4986	590.4837	652.9625	555.1795	292.2294	287.7803	213.6023	1524.7703	343.9223	492.6852	2676.4187	469.5052	883.6103	263.2749	122.8073	295.3132	343.7705	2986.3105	301.2566	595.3788	6026.5628	622.7984	872.8264	908.6689	179.8328	788.7637	1682.2047	2153.6606	294.5729	444.1005	3916.0426	601.2369	572.0126	821.9218	210.5871	380.0725	503.2234	1088.5558	237.7662	471.6566	3414.3626	398.8286	638.298	3084.8426	147.5681	210.9516	311.0773	1855.8275	238.7809	334.7104	3775.4416	322.8642	637.7784	293.3288	185.0944	420.2102	229.284	1336.1724	207.3112	334.1164	4260.7068	290.711	519.8377	559.6493	234.6654	458.1536	327.1713	2241.5737	436.7135	3955.9276	6620.0564	766.4633	7908.877	1702.2136	173.6533	259.0101	436.4511	753.9288	214.9703	1267.2521	4189.6616	381.9631	3027.2026	1355.74	478.4337	757.9282	264.9531	1215.6006	459.8609	711.7515	5025.6197	461.4167	1007.9212	560.6844	178.1625	188.6674	176.1973	1212.6222	319.1767	208.2263	354.4474	692.328	224.3524	231.058	422.5019	318.9329	1254.6438	272.6181	388.2142	4559.5875	1241.9098	817.9311	477.406	143.2747	316.8105	237.0017	1434.8856	208.9814	344.7662	4483.0242	461.94	561.0109	353.4264	129.9649	637.6728	209.1166	913.1983	171.6758	405.8248	4409.016	618.9704	438.2397	214.3837	694.8122
PWY-7323	11253.3844	11310.4302	11303.7748	8367.8456	13584.1106	14363.1362	8195.6268	11052.1906	10824.9054	11340.1579	11360.9558	11337.7057	11377.0076	8433.2784	13614.9892	13982.4318	8235.384	11118.3688	10898.7114	11121.0925	11194.3771	11260.9029	11354.0805	7401.8517	11615.1716	13905.2983	8664.4221	11182.1189	10857.0284	11213.3891	11464.9819	11505.6085	11288.0455	8918.5955	13361.1952	13518.1054	10691.8037	11033.2064	11110.9401	12081.5689	11241.5122	11203.2876	11497.0943	8276.3773	13805.8982	13887.284	10506.1821	10955.3839	10435.1237	10941.9424	11213.8555	11026.5683	11060.494	9120.306	13766.8599	14174.0044	9337.796	11113.7103	10768.9846	11230.8309	10957.1045	11300.9286	11039.6863	8239.1873	14027.5565	13983.6651	9332.45	11095.1436	11065.6269	11047.408	11223.3886	11149.2441	11475.8385	7802.307	13435.9021	13936.4613	8991.556	10860.1009	10793.9287	10856.4071	11270.8683	11452.245	11388.5494	8805.5849	14196.7964	14562.7148	9886.5278	11229.2759	12476.3629	11337.0724	11288.2954	11359.6898	11238.0815	7698.2018	14213.1516	10768.6476	9814.683	11098.8558	7182.9397	11266.7791	11132.5003	11288.6428	11162.9745	8840.1265	13113.3125	14010.9378	9539.8036	10948.2797	9496.5576	10947.3512	11261.8982	11282.7755	11260.3717	7909.8411	13429.8599	14137.875	10799.078	10567.2006	11177.8053	11333.0274	11396.1617	11294.1039	8841.6668	14006.3015	12970.7366	9812.566	11074.4359	10995.8833	11285.0462	11422.9748	11263.9939	11334.1925	8307.1215	13735.7586	13552.5016	9544.4243	10824.8684	10819.4832	11369.38	11349.7748	11237.5693	11240.8584	7219.2109	13038.2582	13887.4031	8686.4087	10665.6067	10557.6117	11392.7222	9956.4103
PWY-7328	3621.2321	4275.1208	4177.4821	4948.0343	3635.2274	3363.9696	6908.4389	5073.0266	5939.0003	3751.766	3156.5085	3979.471	4030.4626	8093.9113	3050.8243	3659.0488	7594.5965	5138.252	5211.4419	4367.7036	3304.1481	4510.9789	3571.8351	3372.4427	3994.6597	3191.2838	5525.3136	4707.0099	5366.8798	3908.5999	2989.7799	4270.0269	4450.8127	4656.9331	2795.0136	4058.9896	8092.3162	5129.4384	5430.8871	4508.8119	3219.8744	4883.566	4456.4402	4887.4153	3341.419	3495.8768	6863.1836	5002.4165	4814.4398	4210.0017	3774.8296	4374.3324	3885.005	4787.105	2874.8965	2993.2545	5545.6576	5841.4537	5894.8456	5633.0579	3399.2565	3983.9213	4739.7262	3418.1998	3455.4484	3793.9107	6030.1846	5233.0484	5347.0077	4621.4832	3339.6197	4928.7127	4588.5772	3064.5254	3523.584	3173.9773	6401.4733	5565.049	5154.9528	4135.1744	3417.8737	4197.7447	4188.7248	4422.1709	3433.1763	7512.1374	8448.5845	5163.3115	10172.9258	4274.8815	3221.8456	4254.386	4289.9142	3082.3586	3324.1114	3552.1398	6579.4425	5346.9221	5299.1674	4456.7703	3320.7684	4546.1602	4292.7426	3860.2758	4346.5935	3398.8288	6876.7963	5725.3205	6768.6098	4366.4782	3403.5911	3962.9927	4036.4827	2958.8054	3889.1455	3801.191	5739.427	5553.3264	4653.5975	2833.0555	4693.6671	4670.9179	4063.0353	3719.3031	4303.2618	6490.8518	5437.8165	5239.8157	4539.3238	3773.5464	5065.9003	5018.9115	3869.9274	3422.6386	4382.3367	6460.6131	5717.3816	5299.2791	4477.6097	3960.9445	5235.253	4718.7664	2510.9178	3583.0596	3458.2527	5970.3699	5784.6998	5369.5854	4744.7271	5308.9747
PWY-7332	764.0153	603.6162	568.2538	2455.7047	1199.0089	800.7914	262.189	715.7297	677.0024	565.654	889.8583	651.4964	786.0123	745.1763	741.8819	1078.4151	295.4158	578.5665	577.1783	576.6356	646.1332	679.3773	756.6472	3550.4161	1581.6571	964.1827	497.3164	716.9038	575.5154	692.2834	528.7356	794.6073	764.163	3263.8718	1036.3148	970.0155	525.7695	762.8601	688.4253	722.7679	982.9826	709.0794	712.0234	2997.7418	1032.4025	1104.3577	293.0829	574.0094	790.5051	586.5319	510.6011	552.6095	327.8853	2939.1937	741.6576	830.835	301.7514	568.1744	573.5457	643.2469	914.803	654.559	662.9431	3157.6387	1187.2791	902.3718	272.325	672.3155	586.9611	607.4606	695.7333	758.4553	556.4245	2812.7691	1111.8722	801.4438	348.0274	709.188	622.0426	439.46	595.0292	669.8257	610.0172	2455.4673	847.831	795.4001	303.833	577.4998	275.3467	682.1813	686.6274	632.3126	531.3054	3445.8281	1263.9963	721.4249	397.6103	714.8482	455.7024	1523.4194	444.772	567.9998	453.0034	2229.1716	1160.2182	1089.416	202.3946	620.809	523.4671	602.05	830.2715	645.3209	562.8025	3525.6939	1403.4463	1200.9117	655.5305	584.8465	772.6446	566.6169	672.4184	710.3136	3904.9809	1191.1053	1029.4873	423.4863	608.6031	493.277	516.7892	835.3491	983.3705	809.4285	3592.4678	1125.4322	975.6811	419.7181	639.7249	369.705	707.6804	1119.0687	913.1888	863.8003	1873.122	1180.6856	1193.152	272.421	674.6889	392.3399	1002.6921	1612.1999
PWY-7347	330.7349	343.5774	334.3559	209.7944	93.0411	106.9984	144.5018	320.1087	319.3777	384.7284	461.3781	357.9186	349.1263	463.2507	92.6331	101.0136	141.2822	321.4589	253.8022	306.0668	377.6787	312.1954	362.9513	217.4304	107.8421	86.081	201.6866	308.9205	340.1857	304.1283	358.3332	232.9771	298.8662	150.6465	82.0317	82.4552	264.0109	349.1682	325.3974	286.96	327.2916	280.5498	273.0371	332.2925	104.858	175.9935	188.0109	356.0892	336.0391	281.6681	240.8395	209.6724	231.8266	324.7555	63.3317	78.4827	150.4533	243.423	234.0072	277.7067	353.9925	240.9349	261.2632	137.7752	72.3859	136.6268	164.1379	261.0828	277.5732	224.351	305.8605	247.629	323.2606	166.712	78.8448	81.277	215.5391	297.6346	354.5582	329.0017	358.7476	281.2518	255.7289	339.2054	70.4858	48.6351	143.994	328.2439	164.9342	305.0389	317.4922	360.1515	326.9328	203.134	68.0746	67.3659	191.4898	297.0378	157.706	382.4526	261.2571	255.9601	240.3552	264.9905	110.4452	89.0637	132.6863	279.1822	232.7672	281.9587	290.1401	270.8366	255.342	190.1118	99.8622	62.8858	334.9433	271.57	268.3177	318.2272	278.3194	229.9107	150.4319	110.4233	60.2731	224.014	308.714	240.4046	244.6965	297.8031	197.1624	218.377	157.5603	61.9813	81.5764	190.5778	278.1697	249.7634	297.3042	276.1848	130.2572	220.1935	74.23	67.1913	67.4133	130.3315	309.5179	225.8422	234.508	279.9265
PWY-7371	5544.1309	5631.8393	5266.0496	2022.3799	1074.2991	820.4026	1459.7109	4317.252	3094.4801	5476.1339	5613.4695	5403.9218	5522.2903	1158.7394	968.4079	1238.9687	1749.2342	4124.1752	3734.6344	5299.1338	5416.0012	5422.1065	5322.5053	2033.9955	1373.0911	938.7584	2486.4249	4384.2284	3744.6021	5785.5182	5769.8542	5537.1083	5442.4064	2263.2337	1217.1763	1174.5487	2759.0286	4128.0979	3657.6872	4969.903	5693.1467	4753.439	4919.9863	2306.0446	1160.0693	1053.2732	2158.8456	3950.1216	3367.1986	5184.9906	6011.9401	5594.3979	5652.3956	1851.2433	941.3757	951.2852	2870.0043	4424.7964	3669.6687	4716.8374	5314.2712	5820.2923	5392.4246	2352.8878	1302.1873	1173.2458	2350.0559	4327.8921	3553.5844	5486.4003	5915.6433	5409.0358	5714.2087	2688.7737	1228.7574	1105.955	2595.2069	3999.6662	3899.4426	5293.185	5857.5199	5567.3563	5537.1305	1864.8197	942.2588	762.6724	1437.3701	4200.1295	2152.5174	5216.658	5708.5366	5427.5259	5480.351	2412.2832	928.4305	667.662	2507.9414	4183.4027	1801.0425	4835.7239	5887.1178	5529.2373	5768.2024	2379.3128	1147.5027	947.8368	2537.0211	4012.74	2946.6851	5561.2417	6156.5759	5958.6208	5802.0637	2439.6539	1220.5195	943.3032	4014.8948	3465.1039	5621.6811	6123.8043	5989.006	5805.4702	2195.5778	1130.6422	1293.4696	2685.8613	4449.0783	4040.905	6033.6784	6158.0386	5787.6111	6046.635	2127.1597	1082.0129	1247.9712	2751.3291	4381.3262	3965.6242	5940.6572	6319.9974	6005.2915	5649.7177	1917.6452	1093.4761	1125.2365	2210.1091	3947.5711	3858.1326	5863.4324	2652.9946
PWY-7373	11.9806	3.9979	5.316	0.0	35.1174	31.0905	3.9918	43.6662	15.9382	0.0	0.0	0.0	7.9913	0.0	35.0235	27.5333	3.9932	15.9536	15.9488	0.0	7.9911	7.9912	7.991	0.0	42.9674	42.5058	0.0	33.1312	0.0	0.0	3.9979	3.9978	11.9802	0.0	19.7565	44.6874	3.9957	11.9739	33.0939	0.0	11.9811	7.9899	0.0	0.0	27.5021	35.1002	7.9778	37.0574	27.8265	7.9908	11.9821	7.9914	3.9979	0.0	15.7986	15.8007	0.0	23.9028	0.0	3.9975	0.0	3.9979	3.9978	0.0	19.7722	31.3585	0.0	3.9972	31.7853	0.0	0.0	6.6738	0.0	7.9822	15.8453	31.3203	0.0	13.2868	18.6131	11.9796	0.0	0.0	0.0	1.3193	69.8838	34.7691	0.0	25.8798	7.9778	0.0	0.0	7.9912	0.0	0.0	19.682	23.37	0.0	15.9542	7.9734	0.0	15.9675	17.2794	13.297	0.0	15.8344	27.3931	7.9811	33.1138	18.5916	7.9914	0.0	3.998	13.9747	0.0	27.5264	31.206	15.9523	17.2553	3.9979	0.0	0.0	5.3163	0.0	15.832	57.9828	3.9955	17.9455	19.926	0.0	3.9981	7.9917	1.3198	3.9944	7.9559	11.9141	7.9826	3.9973	15.9517	0.0	3.9981	19.9502	7.9915	0.0	23.6113	15.8312	3.9946	11.9727	3.9969	3.998	0.0
PWY-7374	1645.5539	1653.5255	1622.7565	1657.862	1148.9337	841.6965	705.5648	1737.4143	999.3949	1349.4204	1695.2479	1635.1899	1669.4578	1099.1664	997.7521	1116.4518	1111.5207	1760.1499	1236.9791	1525.7334	1478.5163	1620.2066	1528.1937	1683.9453	1351.497	896.0965	1252.1919	1672.6799	1313.5261	1456.5736	1845.2004	1657.9397	1696.5191	1873.6521	1261.7474	1111.1858	1491.0482	1642.3677	1300.7635	1365.9079	1675.0539	1491.9649	1462.9462	1828.1529	1259.7519	952.8302	1300.1233	1418.4878	1095.0989	1610.0773	2506.2873	2263.2864	2503.4963	1637.1265	979.6886	956.9571	1443.7122	1718.7333	1552.7108	1790.9768	1937.7582	2066.3321	1972.1992	2071.0557	1408.1391	1115.5892	1222.6064	1786.4401	1397.4474	1862.5476	2122.3769	1861.7363	1800.747	2352.1739	1306.5627	1134.3194	1403.127	1645.3236	1323.2329	1617.6166	1916.4476	1610.6316	2032.8054	1840.2101	1017.5441	822.1892	640.7605	1801.5166	776.4569	1572.3469	1720.4275	1513.2667	1766.8695	2152.901	1017.993	678.7136	1216.0059	1464.6239	793.3331	1403.0781	2293.7411	2068.964	2371.2932	1944.3049	1235.0255	927.0394	1412.6706	1771.5999	1137.1575	2203.9208	2168.7437	2300.179	2322.995	2156.2771	1291.616	1007.8582	1681.1296	1314.4163	2132.0951	2135.8179	1898.7776	2119.5859	1957.5434	1218.7385	1330.3709	1027.642	1791.9821	1664.5852	1889.2226	1896.5505	2352.7052	2140.8585	1800.9748	1151.5165	1266.3959	1105.7552	1990.2004	1725.3204	2025.2582	2241.6633	2302.5932	2265.782	1768.5315	1145.4704	1102.0082	973.3356	1729.4927	1622.7191	2167.3528	1453.1843
PWY-7376	1105.1562	1095.4435	1135.1869	3210.0178	8246.9587	9360.3069	2214.3262	1570.1684	3306.6373	1243.4598	992.6618	1081.2982	1027.8194	3124.7438	8939.8116	8660.904	2668.8327	1944.5589	2392.2389	1278.495	863.386	961.6657	1213.1189	2829.432	6362.0174	9143.1145	3139.9876	1408.1743	1964.0218	1022.0744	849.0631	986.4549	1091.7355	3143.2615	8220.14	7962.1561	2495.4476	1862.2496	2573.5519	2464.347	997.4805	1605.1681	1257.3477	3084.9519	8420.9856	8837.0653	2896.6675	1824.2185	2396.2717	1526.9901	888.0235	1030.7032	1293.7792	3640.3925	9064.6067	9218.9857	1876.0545	1624.0892	2130.5739	1367.8208	924.6278	972.1368	1042.7254	2919.6233	7963.7691	8370.6088	2288.6979	1763.2445	2532.8245	1087.4927	703.8946	1029.9714	1041.5218	2930.4844	7827.0104	8535.1616	2543.0813	1857.0757	1799.5541	1229.7346	862.5334	1180.3121	1034.6718	3897.2053	8981.4238	8803.26	2222.0227	1892.2049	2864.0923	1895.3434	839.9766	1171.9193	987.1648	2960.9717	9019.2735	6914.7691	2825.5981	1806.8249	1819.7539	1567.1693	970.4974	1231.9948	1054.7609	3296.0428	7248.023	8965.9879	2057.9252	2120.8247	2209.575	1266.4132	749.0055	795.8909	1185.3497	2974.7128	7840.1555	8755.4575	1904.0677	2273.8762	1146.0008	661.7049	966.492	1034.3126	3076.3485	8469.2221	6866.4311	2040.7115	1667.1057	2415.5684	1157.1907	842.8077	1259.3603	907.7356	2931.9085	8548.5269	7462.1955	1922.8312	1654.3224	1843.3421	1150.716	948.4936	841.2975	965.4128	2582.4584	7867.7526	8780.2547	1463.8566	1848.8278	1824.2458	1185.062	2747.3019
PWY-7377	664.2473	636.7421	742.169	3360.885	739.7128	620.577	4132.974	405.0235	1203.3377	1188.1173	349.5073	658.3662	507.8906	5285.0106	234.7775	114.9236	4921.4869	551.8195	604.5284	684.5088	533.0485	399.559	500.096	1578.5067	160.5374	487.0282	2825.029	394.0793	1273.0204	434.0427	247.4286	424.0404	688.2306	3033.4087	172.2512	612.6227	5252.5501	530.008	956.5839	545.6186	305.2847	1052.7468	2002.763	2590.4725	469.7024	433.8982	4171.1047	665.8126	523.6886	671.8804	286.875	588.3672	535.097	1769.6772	210.3704	757.3681	3408.4212	384.5632	959.2145	2799.9378	302.5295	337.805	530.9045	1976.4073	137.9759	345.5882	3724.7777	325.3644	912.6423	483.437	191.4279	716.3708	582.536	1736.0743	118.7082	412.1257	4045.0342	327.7528	533.1971	758.606	293.2086	503.5015	545.0096	2846.6451	393.8589	5028.0369	6086.2798	682.9591	6744.7444	1258.2209	269.356	492.1895	823.5891	1181.6811	134.9976	2020.6218	4093.2404	367.0147	2774.8104	1633.5144	812.9497	1106.7451	523.481	1957.232	852.9071	1005.079	4638.7283	570.6844	1499.1393	704.1846	244.3554	403.5645	391.739	1926.4708	332.4614	166.6975	505.3846	1011.6696	467.0943	368.5394	580.8503	486.7975	1643.7901	255.5438	186.0244	4108.1209	1090.612	1013.129	645.7081	280.2045	378.6248	391.1182	1713.6976	150.2457	163.5582	3839.0094	474.6521	701.5371	586.5034	306.2581	929.9309	487.784	1394.0864	163.6572	482.6099	4097.0548	907.5684	668.4987	490.6395	456.3057
PWY-7385	189.758	221.797	288.5822	10.4918	3.4878	0.0	27.9546	110.5002	92.3202	222.3351	107.8186	209.9113	118.9363	3.4994	0.0	3.4503	24.469	118.9132	79.492	199.7651	228.7709	237.5329	68.3124	20.9218	6.823	0.0	55.7136	202.8666	152.869	156.7091	40.5174	226.4776	293.2172	17.4753	3.4711	3.4932	48.8872	161.5773	97.3056	63.5727	137.659	279.5703	321.7463	3.4988	0.0	3.4875	83.548	112.7699	75.7237	187.0513	145.8181	169.5787	140.9924	13.9653	6.9084	0.0	93.8809	105.3571	75.327	193.5256	16.8913	118.816	220.8816	20.9225	3.4529	0.0	24.4608	94.8333	88.3569	133.2209	99.3845	250.1912	125.7272	17.4507	0.0	0.0	59.2836	77.7838	106.7313	195.5717	180.9965	249.1178	174.3674	52.2524	13.8373	0.0	38.4311	174.6611	48.9051	259.7606	51.7878	144.9629	206.8556	6.9826	0.0	0.0	27.9518	140.5163	66.1273	237.7571	156.6843	224.7823	208.5092	27.8922	6.9816	0.0	55.8287	78.9151	65.7862	190.8889	97.3002	82.985	146.4935	10.4846	13.7669	3.4541	180.1137	48.2857	129.6511	198.0505	294.851	167.1049	75.9991	0.0	3.4728	69.7206	83.5035	78.5702	219.3949	73.2846	121.204	137.6377	72.6828	3.4668	6.8391	80.1154	112.2154	61.2257	249.8365	54.0052	346.0657	6.9436	6.9899	3.4677	0.0	59.2842	91.4323	134.0496	167.6407	198.906
PWY-7391	35.341	31.9576	37.646	21.3942	33.318	29.4858	14.0319	83.0298	49.2548	29.7	34.7162	12.8048	25.9196	43.3677	41.098	30.8606	65.2395	104.1931	50.586	39.307	32.4788	26.8414	32.3006	70.0989	39.8111	29.7181	57.3805	95.2528	49.733	16.522	19.923	49.4328	22.5705	55.6078	31.1987	36.2704	30.0688	94.9813	59.2933	12.7883	47.3026	46.5142	51.2631	69.3642	38.4359	55.7473	64.8046	86.6032	42.0533	36.0651	43.5838	30.8828	39.0438	58.331	24.2625	21.5962	40.9953	104.061	82.2485	23.2858	38.3578	28.3828	25.7677	38.8439	50.0148	45.7472	47.2692	87.1743	62.0315	0.0	35.9739	32.8751	31.6411	29.6414	32.4148	40.7995	20.1405	75.921	38.3221	24.4389	31.7583	55.7906	33.6832	15.2367	42.0282	27.0027	10.7548	99.7209	41.6996	33.3429	30.1602	40.03	34.5874	25.0332	23.3585	11.4346	35.9234	54.6787	27.2667	18.8198	61.2844	73.4839	31.5965	41.2055	46.8798	62.9647	7.3814	87.9542	38.0065	36.2025	32.748	36.431	0.0	55.0045	45.0474	26.1463	52.0549	50.6198	23.2891	22.2551	38.0551	22.3777	37.0636	30.1404	25.7438	21.1578	80.757	79.1727	31.3875	35.4831	32.0007	24.6644	46.1232	22.2451	60.7678	30.79	54.0714	104.8294	18.7635	40.0773	40.646	39.0004	14.2159	30.9057	26.9057	17.5032	61.8004	53.2544	28.4462	34.0465
PWY-7392	5447.8552	5574.9929	6095.9707	7646.2349	7145.3008	5744.052	6989.2616	5833.2624	6156.41	6168.1152	5294.8141	5541.6072	5465.0255	7844.8093	6114.8377	5625.0364	7028.9216	5979.7136	5074.3564	6138.7031	5359.584	6075.6547	6029.0651	7497.7543	6673.5916	5339.9544	5996.4651	5680.2948	5345.7031	5908.2839	5064.4346	5893.7368	5887.8043	8061.6813	6654.7134	6465.6906	8301.8016	5666.7463	5074.0192	6525.489	5170.2272	6636.6047	6946.2102	7591.531	7539.0158	5720.7598	6966.4525	5479.8561	5533.0592	6121.5197	4794.688	5820.2323	5983.906	7830.8021	6234.8884	5735.0975	6431.0499	5583.6022	5107.1262	7580.6423	5310.8979	4971.0737	5526.8619	7338.3561	7902.6489	6556.4113	6659.0808	5568.7762	5171.1032	5006.16	5126.9398	6268.5849	5546.7148	7159.6335	7327.826	6391.5243	6894.0846	5571.6937	5055.1553	6241.1181	5093.9985	6033.1608	5477.5024	7926.7454	6875.1512	8492.5589	6539.3334	5858.5834	8769.2751	6295.4946	4978.8616	5571.6136	5772.5216	7572.5078	7086.2273	5562.6456	6949.9203	5224.3942	5457.0093	6847.9736	5552.2941	6402.1198	5384.143	6984.8846	7926.0446	6088.2831	7062.2319	5557.5342	5368.2434	5879.3088	5303.3546	5658.2224	5286.2187	7439.7202	7035.4365	6675.3522	5473.7778	5251.6262	5382.474	5276.7994	6294.1686	5621.9153	7702.8139	7313.3237	7212.8545	7140.9883	6232.4126	5239.195	5913.0516	5264.1663	6079.8634	5539.1011	7263.9358	6824.9604	6897.0407	6965.6746	5816.3742	5747.6155	5623.2475	5848.3589	6633.9739	6385.9167	6088.6273	6527.0326	5817.843	6361.5261	6119.0644	5423.6908	5996.5367	7199.8091
PWY-7398	0.0	0.0	0.0	3.8478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2193	0.0	2.6494	0.0	0.0	2.2142	1.332	0.0	1.3322	0.0	0.0	2.542	7.4553	0.0	0.0	3.2271	0.0	0.0	0.0	1.3325	0.0	0.0	12.7691	3.8629	3.8706	0.0	0.0	0.0	0.0	2.2194	1.7126	0.0	0.0	7.8634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9302	0.0	0.0	0.0	0.0	2.7627	0.0	1.3325	0.0	0.0	2.397	3.8638	5.7014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7117	3.7805	0.0	0.0	1.7122	0.0	1.7123	0.0	0.0	0.0	18.9484	0.0	0.0	0.0	0.0	0.0	0.0	1.7127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0533	3.804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8685	3.923	5.5291	0.0	1.3318	0.0	0.0	0.0	0.0	7.2685	22.9215	3.9093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4246	0.0	10.6984	0.0	0.0	1.3322	0.9995	0.0	0.0	1.3326	8.3317	0.0	1.998	2.9826	0.0	0.0	0.0	8.1926
